fold,spearman_rho,p_value,n_features
9,0.05677007294122349,0.6984271700505511,49
10,0.12333959075833378,0.3984909460619418,49
11,0.19388206715258255,0.18192708590512818,49
12,-0.28693171034392656,0.04561679700534225,49
mean,0.021765005127053316,,49
