model,alpha_daily,alpha_annual,alpha_t,alpha_p,R2_adj,N,beta_Mkt_RF,t_Mkt_RF,p_Mkt_RF,model_spec,beta_SMB,t_SMB,p_SMB,beta_HML,t_HML,p_HML,beta_RMW,t_RMW,p_RMW,beta_CMA,t_CMA,p_CMA,beta_Mom,t_Mom,p_Mom
CAPM,-6.772298580692973e-05,-0.01706619242334629,-0.14835920210895875,0.882059295703685,0.005369397493404926,1512,0.12120126417685684,1.589838818271301,0.11187114141240152,CAPM,,,,,,,,,,,,,,,
FF3,-8.290497153835895e-05,-0.020892052827666454,-0.18041387321476518,0.8568276637762247,0.005289408044258592,1512,0.13518131587268312,1.623658541014232,0.10444870394527753,FF3,-0.08805824322462394,-0.9359351853720136,0.34930655988247217,0.056129513283014076,0.8190042716378553,0.41278397645089326,,,,,,,,,
FF5,-1.9218538477316764e-05,-0.004843071696283825,-0.041349064593477446,0.9670176186026553,0.007786307251366753,1512,0.12463085527031255,1.3726857105612855,0.16985007334426927,FF5,-0.17917521833442454,-1.8188603984456433,0.0689327309384453,0.15250935372612956,1.976856131107635,0.048057894759793024,-0.24723835133618058,-2.2482877686864597,0.024557846145092915,-0.0677654152633442,-0.44978180817229285,0.6528677763723314,,,
FF5+MOM,-1.8114580340901918e-05,-0.004564874245907283,-0.039004046572363546,0.9688871623721447,0.009447679135584086,1512,0.12103453253931933,1.3051756514687611,0.1918330431466334,FF5+MOM,-0.2111194698097547,-2.1542915684626838,0.031217313681827,0.10152371682204134,1.2737710972369372,0.2027445511162409,-0.25660243756063994,-2.344378212868507,0.019058833736178494,0.01922251686852503,0.12555964017420854,0.9000805125152819,-0.09116109328450733,-1.971371891129236,0.04868135376472528
