,TopK1,TopK1_LongShort,Baseline_P50,Equal_Weight,Random_Top1
2018-10-19,0.008926544050514573,0.01338036459634595,0.0073833888591950435,0.006509469725815965,-0.005262709157198315
2018-10-22,-0.03430157482987506,0.00464876402540243,-0.04874481077049214,-0.04951512717284992,-0.05169363822634466
2018-10-23,0.05972804722058889,0.013624740194950635,0.025526901402092763,0.025791956916379262,0.026823037346136173
2018-10-24,-0.016923248785105316,-0.011809502236353464,-0.0186432748006649,-0.01725696190386741,-0.01274703172563711
2018-10-25,-0.01877028369412692,-0.010701026165957861,-0.014102618839051735,-0.014035952172385069,-0.019817280761227383
2018-10-26,0.0049945504536250684,0.009388642653069323,0.0231117882906688,0.021880859741451607,0.025491773618047827
2018-10-29,0.0021149796989689005,-0.0015830985026583635,0.016023251452383352,0.016056584785716685,0.01661466551061896
2018-10-30,0.014352508785266838,-0.0076157802267564625,0.02398164491547158,0.02398164491547158,0.02622786776607068
2018-10-31,-0.06633092272763541,-0.02905261121466368,-0.009009365365895416,-0.009009365365895416,-0.009226397806378024
2018-11-01,4.323151659468925e-05,-0.003796616678741537,-0.0009209879899802883,-0.0006368506722894648,-0.0007468222413469893
2018-11-02,0.009814194582899893,-0.007457113606863296,0.009243493698154357,0.009449378965955208,0.011022909852736991
2018-11-05,0.03032840571822737,-0.001121059414374792,0.02489065504267798,0.025179984026154612,0.023573718278019018
2018-11-06,-0.003489344635219993,-0.005852731003277656,-0.002728081337641023,-0.0023632747140084785,-0.008459483323019374
2018-11-07,-0.01928151589494098,-0.00777413648872749,-0.01825766661054969,-0.015613013867494837,-0.016925531014770442
2018-11-08,-0.0503739934887566,-0.008565212411481948,-0.03209474149699832,-0.03196636906929147,-0.03220886864176562
2018-11-09,-0.009991200463727368,-0.0188311936148039,0.004665150043645135,0.004698483376978468,0.005275706230987356
2018-11-12,-0.028247495145546697,-0.019488875204126732,-0.005758622517530914,-0.005758622517530914,-0.007803944223049922
2018-11-13,0.024678755771836647,-0.009601889467255098,0.022444235133463008,0.022444235133463008,0.025548183150808427
2018-11-14,0.011075491399981097,0.007414653689444217,-0.004829794904529558,-0.004829794904529558,-0.004709653632471369
2018-11-15,-0.03963184817098531,0.0018119937023098336,-0.037471923757884246,-0.034098557504048554,-0.03253695602619976
2018-11-16,-0.04777787937457012,-0.03603197377747169,-0.006146811455192247,-0.004965715467340062,-0.007426820264310161
2018-11-19,-0.0011302449109027446,-0.015287122458923552,0.0011641749659451529,0.0011975082992784862,4.807412884105577e-05
2018-11-20,-0.025398725166196234,-0.0074011807030309185,-0.0062326074097946845,-0.0062326074097946845,-0.005144872692645044
2018-11-21,0.013523603935003736,0.0071678045240451405,0.02277766855568041,0.02199023498894373,0.015955572124138912
2018-11-23,-0.004466243518960188,-0.008978031866825553,0.0018843131256264828,0.002438437481798017,0.0026963195109951754
2018-11-26,0.04024129810889343,0.007103767643526326,0.0311363391430668,0.03030166044768905,0.029130318333249288
2018-11-27,-0.008682011899865616,0.00413179240110384,-0.004846573643815818,-0.005216541079091066,-0.001967840430963126
2018-11-28,-0.005402594372516667,-0.0068144552380094425,0.01562777567390462,0.015603078840177694,0.013909794755435039
2018-11-29,0.03494242853183871,0.008762228001383932,0.015840404523734294,0.016026323457245514,0.013747811723811239
2018-11-30,-0.04398869186014176,-0.0060789166424603525,-0.035309398516307315,-0.03668789864324411,-0.03982174180858989
2018-12-03,-0.011149452831986317,-0.017998020561990402,0.004419362652987334,0.004994870583060169,-0.0016373542159604426
2018-12-04,-0.035657020158276875,-0.003069861704211085,-0.03472230506129062,-0.03399848165393702,-0.03414958684077775
2018-12-06,0.006587782086670657,-0.0050836592354086,0.01371889049308706,0.014444734086779213,0.012663589655499484
2018-12-07,-0.005719362183336352,-0.003907524349933578,0.003563079913691702,0.0033303207479571163,0.0006309517120599594
2018-12-10,0.0037911797538682243,-0.0015853215287451308,0.008797795692370805,0.00873659659633706,0.008905929686893767
2018-12-11,0.009940029412787266,0.004242361993008703,0.0016831782321575974,0.001675582471978006,0.0001459464497229912
2018-12-12,-0.03199774039413805,-0.0077682732712091584,-0.02870486496652424,-0.025650884583154895,-0.024208615399256294
2018-12-13,-0.009306227726468608,0.013586005956738534,-0.01609771365449945,-0.017359387944639752,-0.016732085369660834
2018-12-14,0.012992652569484342,-0.004344733628301123,0.007983287500953735,0.005410439941884663,0.00044625467443108356
2018-12-17,-0.031191754367400848,-0.012213617857407877,-0.026957660677864984,-0.025470117224538426,-0.024709010676960047
2018-12-18,-0.025234533320474206,-0.006920985297871218,-0.014294797763990617,-0.014209678011241806,-0.013593994631305088
2018-12-19,-0.038895918458899725,-0.0031242189693153066,-0.023135878704123748,-0.024749705013688072,-0.025645139529210038
2018-12-20,-0.025873751845875814,0.009244807338037564,-0.02691641523130792,-0.02695049024798836,-0.029961498119286722
2018-12-21,0.07042167543817035,-0.008645549901750094,0.05993067211899428,0.06110395044750023,0.06029539710517287
2018-12-24,-0.006489937438973525,-0.0024575585303567844,0.007703458102923997,0.007275030820610253,0.005943447083270475
2018-12-26,0.0005121804093000115,0.004219967152959969,0.0017960560569666836,0.003055393844173618,-0.0010509306090132498
2018-12-27,0.009665476509081783,-0.0021362944669546247,0.008598044489665259,0.009522904383308642,0.011217484517712832
2018-12-28,0.0011414261523552405,0.0014896402209995667,0.002196364479715959,0.002061890520737297,-0.004052507879587537
2018-12-31,-0.09960768478077342,-0.049320515118923824,-0.03754709268765936,-0.03632774474950157,-0.03959223123144003
2019-01-02,0.042689310185075824,-0.012881792809749881,0.04510852366138376,0.045886669399490154,0.04095443139922203
2019-01-03,-0.002225788134742057,-0.011796082454130608,0.013450100519029699,0.013187354395150529,0.01263393295092607
2019-01-04,0.01906282083230848,0.00823723146705152,0.0053187224064948505,0.005571550166525666,0.004757034725107363
2019-01-07,0.01698209366581982,0.008475015623548354,0.012994136814517845,0.01229026162837064,0.013141961533536403
2019-01-08,0.0031962264704463728,0.002062327604187342,0.008142578196138634,0.00847273261336871,0.008331715183563508
2019-01-09,-0.009818184780476802,-0.008737298029605711,0.0022544032196745315,0.002501136821643202,-0.0005131285158077992
2019-01-10,-0.01503679300587979,-0.003831880343624971,-0.01157980067602351,-0.011666971713574765,-0.013611199287933053
2019-01-11,0.02046632390679437,-0.0005409964326605898,0.013812159435922244,0.015625855552018942,0.014959648053870116
2019-01-14,0.012216776290141729,0.010341557998278406,-0.0041308117197586605,-0.004311587327752783,-0.004586073921949696
2019-01-15,0.005937783023093113,-9.236955860963915e-05,0.010766603172232209,0.010585762949122989,0.007947290429896621
2019-01-16,0.006159249009417778,0.003939178385588937,0.008652090965129033,0.008416421509276968,0.008268616550676355
2019-01-17,-0.015868793813268223,0.008385870142883667,-0.019367496153163397,-0.019693041088185374,-0.019527712609447453
2019-01-18,-0.0030794258653801245,-0.004684767789865651,-0.0027297150260640075,-0.00382027253450663,-0.0009936712930500757
2019-01-22,-0.008926443141958007,0.0014865828412282131,0.022099290286509053,0.02095432757535767,0.020176954039983593
2019-01-23,0.03313682716131727,0.0107102798442259,0.014769483728220912,0.015021945561292403,0.01609221714642355
2019-01-24,-0.009254370093756403,0.005409307913562589,-0.015452833994513518,-0.013625516439146756,-0.022681423730151248
2019-01-25,0.0035902576273975093,-0.002570110941013003,-0.008522021231700093,-0.00777527492871158,-0.005851848538348645
2019-01-28,0.035649157114859276,0.014516408523094715,0.02380594084557288,0.02289985836257068,0.02357707674831775
2019-01-29,-0.0025153812914419085,-0.010785955289523641,0.008082872576207028,0.008922247537149472,0.008624908889223706
2019-01-30,-0.0012134254696276594,-0.0013470668665404575,0.0012970077839177343,0.0014112969044399104,0.0016277835348608627
2019-01-31,-0.011429502714575435,-0.016896107270301164,0.007464505639179702,0.010268222292104272,0.013644812791945547
2019-02-01,0.016109640425537752,0.007397793775362983,0.007021841515570334,0.006993722247966891,0.006042438416587557
2019-02-04,0.028652331726813363,0.015248387838122213,0.010711859426150121,0.005740082418549756,0.0029067361039361627
2019-02-05,-0.03523161259504359,-0.016416670076342954,-0.014976347741867234,-0.016297679185166992,-0.01545008393659816
2019-02-06,0.00017534927597340298,-0.0009043693966096491,0.003795452449962438,0.003718090151836777,0.0021853753003925093
