strategy,model,alpha_daily,alpha_annual,alpha_t,alpha_p,R2_adj,N,beta_Mkt_RF,t_Mkt_RF,p_Mkt_RF,beta_SMB,t_SMB,p_SMB,beta_HML,t_HML,p_HML,beta_RMW,t_RMW,p_RMW,beta_CMA,t_CMA,p_CMA,beta_Mom,t_Mom,p_Mom
TopK1,FF5+MOM,-1.8114580340901918e-05,-0.004564874245907283,-0.039004046572363546,0.9688871623721447,0.009447679135584086,1512,0.12103453253931933,1.3051756514687611,0.1918330431466334,-0.2111194698097547,-2.1542915684626838,0.031217313681827,0.10152371682204134,1.2737710972369372,0.2027445511162409,-0.25660243756063994,-2.344378212868507,0.019058833736178494,0.01922251686852503,0.12555964017420854,0.9000805125152819,-0.09116109328450733,-1.971371891129236,0.04868135376472528
TopK1_LongShort,FF5+MOM,-0.000498831275125486,-0.1257054813316225,-1.711347337504337,0.08701701259805615,0.005795993934198496,1512,-0.007057243127056681,-0.1858307962921952,0.8525774532072758,-0.109181069119761,-2.0276327512953465,0.042597743782008965,-0.04737628937074845,-1.063173240418251,0.28770339528615063,-0.10270428594672745,-1.7726166805600383,0.07629224579183541,0.017411500522580458,0.20935276711263598,0.8341728620858191,-0.04473727554373374,-1.6100249697934255,0.10739240526189849
Baseline_P50,FF5+MOM,0.0007008860759453066,0.1766232911382173,1.9132775589706101,0.05571252903606994,0.012913170305446031,1512,0.13880369223034147,1.7704779793976608,0.07664754954772543,-0.10599361307028413,-1.5047400653730267,0.13239091808809883,0.15288677555984395,2.0976659173283982,0.03593466766227021,-0.14863610067950855,-1.6433973272405624,0.10030075276804452,-0.00670717199334812,-0.051635799821631245,0.9588188932445308,-0.005064055868588832,-0.1173316672244188,0.9065972315187412
Equal_Weight,FF5+MOM,0.0008856806482219331,0.22319152335192713,2.4686720269352214,0.013561545032078588,0.013246902746000933,1512,0.14022922477305697,1.805229053918392,0.07103884625250254,-0.10415424838793266,-1.492898025822148,0.13546388199759538,0.14805296863745854,2.043904526574991,0.04096297988442896,-0.14759833782405307,-1.6327637642318338,0.1025186908253241,0.008697652982059972,0.0677746852056418,0.9459649956940642,-0.004641921952766802,-0.10806381406774573,0.9139450722050376
Random_Top1,FF5+MOM,0.0004965013436991668,0.12511833861219002,1.3571905663603394,0.17472066742696923,0.011732175428845082,1512,0.13580553346562152,1.6142011388678836,0.10648380506030046,-0.08296501224575159,-1.1600684089127258,0.2460209550131055,0.149577564920836,1.955515751858426,0.05052222599411864,-0.11950275532164908,-1.303835680524876,0.1922896142258168,-0.014427004515938726,-0.10962206467768137,0.9127091110349124,0.0024829376764835976,0.05337991349319703,0.9574292091023701
