date,momentum_ic
2018-10-01,-0.23114571746384868
2018-10-02,-0.11101223581757509
2018-10-03,0.10478309232480533
2018-10-04,0.0011123470522803117
2018-10-05,-0.12169076751946609
2018-10-08,0.22224694104560622
2018-10-09,-0.6218020022246942
2018-10-10,0.06384872080088987
2018-10-11,0.4420467185761958
2018-10-12,-0.5101223581757508
2018-10-15,0.06740823136818688
2018-10-16,0.06251390433815351
2018-10-17,-0.04827586206896552
2018-10-18,0.04382647385984427
2018-10-19,0.49499443826473855
2018-10-22,-0.24582869855394882
2018-10-23,-0.0020022246941045607
2018-10-24,0.2516129032258065
2018-10-25,-0.4589543937708565
2018-10-26,-0.25917686318131256
2018-10-29,-0.6311457174638487
2018-10-30,0.38598442714126807
2018-10-31,-0.531924360400445
2018-11-01,0.12080088987764183
2018-11-02,0.3819799777530589
2018-11-05,-0.46206896551724136
2018-11-06,0.6529477196885429
2018-11-07,-0.08565072302558399
2018-11-08,0.05005561735261402
2018-11-09,0.13103448275862067
2018-11-12,-0.4006674082313682
2018-11-13,-0.525250278086763
2018-11-14,-0.37130144605116794
2018-11-15,-0.3076751946607342
2018-11-16,0.08698553948832036
2018-11-19,-0.6658509454949945
2018-11-20,-0.001557285873192436
2018-11-21,-0.1345939933259177
2018-11-23,-0.13993325917686317
2018-11-26,0.3882091212458286
2018-11-27,0.15417130144605118
2018-11-28,0.10656284760845385
2018-11-29,-0.33303670745272523
2018-11-30,-0.2978865406006674
2018-12-03,0.14349276974416017
2018-12-04,0.5479421579532814
2018-12-06,-0.260511679644049
2018-12-07,-0.06518353726362626
2018-12-10,0.1114571746384872
2018-12-11,-0.08120133481646273
2018-12-12,0.26896551724137935
2018-12-13,-0.5408231368186874
2018-12-14,-0.525250278086763
2018-12-17,-0.15417130144605118
2018-12-18,0.5105672969966629
2018-12-19,-0.3459399332591768
2018-12-20,-0.2671857619577308
2018-12-21,-0.018020022246941044
2018-12-24,0.06651835372636263
2018-12-26,0.05139043381535039
2018-12-27,-0.29699666295884314
2018-12-28,0.42380422691879865
2018-12-31,-0.5150166852057843
2019-01-02,0.31345939933259176
2019-01-03,-0.05183537263626252
2019-01-04,-0.04961067853170189
2019-01-07,0.3842046718576196
2019-01-08,-0.6440489432703003
2019-01-09,0.009121245828698554
2019-01-10,-0.16840934371523916
2019-01-11,0.09365962180200223
2019-01-14,0.4558398220244716
2019-01-15,0.2040044493882091
2019-01-16,-0.3935483870967742
2019-01-17,-0.44160177975528364
2019-01-18,0.27786429365962184
2019-01-22,0.4829810901001112
2019-01-23,-0.42869855394883205
2019-01-24,-0.3931034482758621
2019-01-25,-0.045606229143492764
2019-01-28,-0.03492769744160178
2019-01-29,-0.06785317018909899
2019-01-30,0.025583982202447165
2019-01-31,-0.38598442714126807
2019-02-01,0.1764182424916574
2019-02-04,0.0771968854282536
2019-02-05,-0.37263626251390436
2019-02-06,0.37352614015572855
2019-02-07,0.44783092324805335
2019-02-08,0.071412680756396
2019-02-11,0.071412680756396
2019-02-12,-0.31078976640711903
2019-02-13,0.1839822024471635
2019-02-14,0.02246941045606229
2019-02-15,0.1403781979977753
2019-02-19,-0.07452725250278086
2019-02-20,0.4838709677419355
2019-02-21,0.058064516129032254
2019-02-22,-0.12658509454949946
2019-02-25,0.5372636262513905
2019-02-26,0.20489432703003335
2019-02-27,0.0460511679644049
2019-02-28,-0.007341490545050056
2019-03-01,-0.2547274749721913
2019-03-04,0.2711902113459399
2019-03-05,0.21067853170189096
2019-03-06,0.2040044493882091
2019-03-07,-0.45494994438264746
2019-03-08,-0.3130144605116796
2019-03-11,0.2182424916573971
2019-03-12,-0.0914349276974416
2019-03-13,0.22358175750834258
2019-03-14,-0.457174638487208
2019-03-15,0.44649610678531704
2019-03-18,-0.2146829810901001
2019-03-19,0.22135706340378197
2019-03-20,-0.13236929922135707
2019-03-21,0.32013348164627364
2019-03-22,0.3561735261401557
2019-03-25,-0.13370411568409346
2019-03-26,0.4068965517241379
2019-03-27,0.560845383759733
2019-03-28,-0.49187986651835364
2019-03-29,-0.2004449388209121
2019-04-01,-0.23648498331479423
2019-04-02,-0.3637374860956618
2019-04-03,-0.5101223581757508
2019-04-04,-0.36240266963292544
2019-04-05,0.18131256952169075
2019-04-08,0.4269187986651835
2019-04-09,-0.2164627363737486
2019-04-10,0.23515016685205786
2019-04-11,0.1546162402669633
2019-04-12,0.3268075639599555
2019-04-15,-0.3468298109010011
2019-04-16,0.0771968854282536
2019-04-17,0.16618464961067853
2019-04-18,0.06162402669632924
2019-04-22,0.1884315906562848
2019-04-23,0.22269187986651834
2019-04-24,-0.14571746384872078
2019-04-25,0.16262513904338155
2019-04-26,0.07007786429365963
2019-04-29,0.37085650723025576
2019-04-30,-0.08342602892102337
2019-05-01,-0.21379310344827587
2019-05-02,0.018909899888765295
2019-05-03,-0.10789766407119021
2019-05-06,0.4100111234705228
2019-05-07,0.19777530589543937
2019-05-08,0.567964404894327
2019-05-09,0.739265850945495
2019-05-10,0.4042269187986652
2019-05-13,-0.06607341490545049
2019-05-14,-0.05628476084538376
2019-05-15,0.43715239154616237
2019-05-16,0.03225806451612903
2019-05-17,0.17241379310344826
2019-05-20,-0.44827586206896547
2019-05-21,0.011790878754171301
2019-05-22,-0.21379310344827587
2019-05-23,0.5755283648498332
2019-05-24,0.3704115684093437
2019-05-28,-0.38064516129032255
2019-05-29,0.1906562847608454
2019-05-30,0.48209121245828696
2019-05-31,-0.13726362625139044
2019-06-03,-0.35884315906562847
2019-06-04,0.5737486095661846
2019-06-05,-0.024249165739710785
2019-06-06,0.19154616240266964
2019-06-07,-0.32547274749721916
2019-06-10,-0.2827586206896551
2019-06-11,0.4189098998887653
2019-06-12,-0.3263626251390434
2019-06-13,0.24983314794215797
2019-06-14,-0.1768631813125695
2019-06-17,-0.34060066740823136
2019-06-18,0.3081201334816463
2019-06-19,0.4589543937708565
2019-06-20,-0.5074527252502781
2019-06-21,0.04827586206896552
2019-06-24,-0.1239154616240267
2019-06-25,-0.23292547274749723
2019-06-26,-0.4473859844271412
2019-06-27,0.11501668520578419
2019-06-28,-0.012235817575083427
2019-07-01,0.25739710789766407
2019-07-02,0.11546162402669634
2019-07-03,0.5101223581757508
2019-07-05,0.6516129032258065
2019-07-08,-0.3668520578420467
2019-07-09,0.0353726362625139
2019-07-10,0.22803114571746386
2019-07-11,-0.08342602892102337
2019-07-12,-0.27786429365962184
2019-07-15,-0.11991101223581756
2019-07-16,-0.03270300333704116
2019-07-17,0.11101223581757509
2019-07-18,0.08743047830923248
2019-07-19,0.08698553948832036
2019-07-22,-0.36729699666295884
2019-07-23,-0.07986651835372637
2019-07-24,0.2947719688542826
2019-07-25,-0.11436199870521964
2019-07-26,-0.01935483870967742
2019-07-29,-0.21512791991101224
2019-07-30,-0.20133481646273638
2019-07-31,0.2502780867630701
2019-08-01,-0.1635150166852058
2019-08-02,-0.08654060066740822
2019-08-05,0.3575083426028921
2019-08-06,-0.0046718576195773085
2019-08-07,0.04916573971078977
2019-08-08,0.3161290322580645
2019-08-09,0.10433815350389322
2019-08-12,-0.05050055617352613
2019-08-13,0.057174638487208
2019-08-14,0.27919911012235815
2019-08-15,-0.05850945494994438
2019-08-16,-0.4291434927697442
2019-08-19,0.35884315906562847
2019-08-20,0.2756395995550612
2019-08-21,0.26585094549499444
2019-08-22,0.10611790878754171
2019-08-23,0.28809788654060065
2019-08-26,0.32146829810900995
2019-08-27,0.00778642936596218
2019-08-28,0.017130144605116793
2019-08-29,-0.03136818687430478
2019-08-30,0.1911012235817575
2019-09-03,0.035817575083426034
2019-09-04,-0.22803114571746386
2019-09-05,-0.0024471635150166847
2019-09-06,-0.4318131256952169
2019-09-09,-0.5986651835372636
2019-09-10,-0.11635150166852058
2019-09-11,0.34371523915461627
2019-09-12,-0.19332591768631813
2019-09-13,-0.06562847608453837
2019-09-16,0.13058954393770855
2019-09-17,0.6720800889877642
2019-09-18,-0.015350389321468297
2019-09-19,-0.007341490545050056
2019-09-20,0.2654060066740823
2019-09-23,0.4273637374860957
2019-09-24,-0.07808676307007786
2019-09-25,0.4887652947719689
2019-09-26,-0.3730812013348164
2019-09-27,-0.03937708565072302
2019-09-30,-0.2912124582869855
2019-10-01,-0.009566184649610678
2019-10-02,-0.10122358175750834
2019-10-03,0.5061179087875418
